SSN,EventNo,VoteNo,Answer,
D1017,1,2,2,
D1018,1,2,2,
D1019,1,2,2,
D1024,1,2,2,
D1025,1,2,2,
D1028,1,2,2,
D1029,1,2,2,
D1031,1,2,2,
D1032,1,2,2,
G1013,1,2,2,
G1035,1,2,2,
G1036,1,2,2,
H1015,1,2,2,
H1017,1,2,2,
H1020,1,2,2,
H1021,1,2,2,
H1034,1,2,2,
H1035,1,2,2,
M1014,1,2,1,
M1016,1,2,1,
M1022,1,2,1,
M1025,1,2,1,
M1026,1,2,1,
M1027,1,2,1,
M1028,1,2,1,
M1032,1,2,1,
M1033,1,2,1,
M1036,1,2,1,
M1037,1,2,1,
P1012,1,2,1,
P1013,1,2,1,
P1016,1,2,1,
P1017,1,2,2,
P1021,1,2,2,
P1023,1,2,2,
P1026,1,2,2,
P1027,1,2,2,
S1011,1,2,2,
S1012,1,2,2,
S1017,1,2,1,
S1018,1,2,1,
S1031,1,2,1,
S1032,1,2,1,
S1033,1,2,1,
D1017,1,1,1,
D1018,1,1,1,
D1019,1,1,1,
D1024,1,1,1,
D1025,1,1,1,
D1028,1,1,1,
D1029,1,1,1,
D1031,1,1,1,
D1032,1,1,1,
G1013,1,1,3,
G1035,1,1,3,
G1036,1,1,3,
H1015,1,1,3,
H1017,1,1,3,
H1020,1,1,3,
H1021,1,1,1,
H1034,1,1,2,
H1035,1,1,3,
M1014,1,1,2,
M1016,1,1,3,
M1022,1,1,1,
M1025,1,1,2,
M1026,1,1,2,
M1027,1,1,2,
M1028,1,1,2,
M1032,1,1,2,
M1033,1,1,2,
M1036,1,1,2,
M1037,1,1,3,
P1012,1,1,2,
P1013,1,1,1,
P1016,1,1,2,
P1017,1,1,3,
P1021,1,1,1,
P1023,1,1,2,
P1026,1,1,1,
P1027,1,1,2,
S1011,1,1,3,
S1012,1,1,2,
S1017,1,1,3,
S1018,1,1,1,
S1031,1,1,2,
S1032,1,1,3,
S1033,1,1,2,
